Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/27/2022 04:05:07.277,28.016836,28.015524,28.003985,28.02213,28.003395,28.032686,27.996625,28.020671,26.980645,27.021475,27.011706,26.983136,27.064535,26.99343,27.044636,27.042554
4/27/2022 04:10:10.296,27.983234,27.987544,27.984709,28.05288,27.963843,27.989462,28.039915,28.032325,27.00851,27.062748,27.003953,27.075862,27.023786,27.055618,27.014902,27.080254
4/27/2022 04:15:11.715,28.016459,28.051995,28.05011,28.025474,28.011722,27.991773,27.969366,27.987823,27.069731,27.041505,27.043587,27.067961,26.988414,27.015279,26.980563,27.063699
4/27/2022 04:20:09.007,27.984758,28.01759,28.042799,27.99079,28.051864,28.04039,28.050552,27.992708,27.056536,27.004379,27.021131,27.028442,27.00669,26.980366,27.043587,27.022983
4/27/2022 04:25:11.525,28.01913,27.976382,27.999953,28.017491,28.030588,28.010886,28.013197,28.048274,27.018672,26.979628,26.995151,26.991955,27.067027,27.042522,27.075337,27.003166
4/27/2022 04:30:08.398,27.993035,28.047405,27.976316,28.05388,27.970334,27.971694,28.000198,28.037816,26.981939,27.046964,27.03367,27.022836,27.044898,27.032457,27.03985,26.993495
4/27/2022 04:35:07.347,28.001969,28.019983,28.048274,28.034079,27.983922,28.012689,28.033571,27.988331,26.9972,27.064355,27.033687,27.081418,27.005182,26.983136,27.016656,27.078927
4/27/2022 04:40:06.902,28.008525,27.990872,28.026326,27.993576,28.049208,28.034899,27.968449,28.001854,27.066535,27.022016,26.998019,27.041423,26.988168,27.023131,26.988627,27.071616
4/27/2022 04:45:07.226,27.995265,28.054306,27.986495,28.019343,28.037325,27.989052,28.046455,28.030227,27.062732,26.988988,27.015787,26.999888,27.052078,27.049013,27.036752,27.039719
4/27/2022 04:50:11.600,28.013934,28.015197,28.016229,28.047028,27.991675,27.983332,27.989331,28.002772,27.037326,27.007723,27.048652,26.994938,27.067879,27.002642,27.055864,27.018672
4/27/2022 04:55:07.253,27.99833,27.982299,28.038751,28.009083,27.973792,28.050815,28.01459,27.982414,26.994102,27.070534,27.019853,27.074239,27.029458,26.982972,27.029818,26.989529
4/27/2022 05:00:09.713,28.006526,28.049454,28.008738,27.982184,28.037439,28.024294,28.029293,28.032997,26.984955,27.049783,26.992479,27.044243,26.999085,27.041702,26.995446,27.034769
4/27/2022 05:05:12.113,28.006083,28.010935,27.980316,28.038226,28.048323,27.971202,27.976202,28.029031,27.053635,27.008395,27.041079,27.013132,26.986382,27.01646,27.006658,27.070157
4/27/2022 05:10:07.407,28.005853,28.002428,28.027359,28.043685,28.01482,28.019212,28.062125,27.972661,27.074878,26.986988,27.036703,26.991922,27.063404,26.979022,27.05906,27.056438
4/27/2022 05:15:09.776,28.013164,28.053765,28.044914,28.008394,27.963793,28.038866,27.996691,28.005034,27.038784,27.032884,27.009051,27.071715,27.065191,27.048455,27.05252,27.031917
4/27/2022 05:20:11.236,27.98166,28.007214,28.007247,27.978447,27.995724,28.004362,28.018098,28.038423,27.002183,27.068567,26.985808,27.044013,27.027425,27.029638,27.007362,26.989643
4/27/2022 05:25:12.157,28.020327,27.987348,27.979447,28.047127,28.053552,27.981922,28.024212,28.01159,26.992987,27.033457,27.054586,27.021901,26.987299,26.967892,26.984562,26.998118
4/27/2022 05:30:06.738,27.992232,28.048405,28.044242,28.048504,28.036587,28.037718,27.966072,27.97766,27.04939,27.00574,27.039161,26.986808,26.999855,27.013952,27.032048,27.065978
4/27/2022 05:35:08.217,28.020868,28.010148,28.038407,28.010181,27.989593,28.034046,28.048717,28.032948,27.07037,26.980989,27.005412,27.067748,27.072321,27.057929,27.064879,27.066207
4/27/2022 05:40:11.964,27.98243,27.99692,27.986413,27.98961,27.973022,27.982971,27.998854,28.022638,27.037096,27.042997,27.007379,27.061486,27.054618,27.000839,27.043833,27.034031
4/27/2022 05:45:08.330,28.015705,28.050225,27.979447,28.045045,28.037784,27.996838,28.009673,27.978628,27.001658,27.056536,27.043718,27.014476,27.017164,26.974809,27.001019,27.010706
4/27/2022 05:50:10.732,27.990659,28.013426,28.052077,28.033915,28.051618,28.032768,28.03326,28.014016,26.983988,27.029474,27.019394,26.9853,26.981104,27.050127,26.985464,26.991168
4/27/2022 05:55:11.780,28.01223,27.987233,28.038308,27.995986,28.015967,28.00864,27.9644,28.033965,27.049488,26.989873,26.992266,27.044308,27.023032,27.014738,27.053537,27.059585
4/27/2022 06:00:06.213,27.999461,28.048225,27.994543,27.993363,27.974267,27.979201,28.057912,27.992577,27.064371,27.002461,27.032736,27.066584,27.071338,26.973662,27.057503,27.075321
4/27/2022 06:05:08.743,28.002772,28.020802,27.991806,28.045635,28.003444,28.031326,27.995756,27.967826,27.032523,27.063945,27.03803,27.022082,27.053668,27.032507,27.026032,27.047013
4/27/2022 06:10:07.356,27.990757,27.981037,28.0527,28.037358,28.049651,28.040292,28.02731,28.030276,26.993217,27.049914,27.013427,26.986742,27.010739,27.031031,26.99061,27.024245
4/27/2022 06:15:09.648,28.013377,28.048372,28.040947,27.992347,28.032719,27.987069,28.030129,28.027326,26.987316,27.010362,26.996102,27.061159,26.997773,26.989889,27.017,26.989906
4/27/2022 06:20:09.495,27.996986,28.019458,27.990855,27.997412,27.98484,27.991036,27.973136,27.993101,27.056602,26.971924,27.040227,27.075812,27.052914,27.002216,27.064273,27.00651
4/27/2022 06:25:10.734,28.009722,27.988003,27.991478,28.061551,27.975054,28.050471,28.047209,27.98525,27.069141,27.026622,27.028687,27.038653,27.052422,27.039702,27.051209,27.078959
4/27/2022 06:30:08.321,28.004231,28.057224,28.049126,28.024261,28.036161,28.023163,27.992232,28.037882,27.038866,27.081484,26.994053,26.996167,27.017328,27.006297,27.026278,27.069649
